LCSC Part	First Category	Second Category	MFR.Part	Package	Solder Joint	Manufacturer	Library Type	Description	Datasheet	Price	Stock											
C17617	Resistors	Chip Resistor - Surface Mount	0805W8F3000T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 300?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3000T5E_C17617.pdf	20-180:0.001805970	200-580:0.001444776	600-1980:0.001255224	2000-9980:0.001168657	10000-10020:0.001055224	10040-:0.001055224	298496						
C17621	Resistors	Chip Resistor - Surface Mount	0805W8F3002T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 30k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3002T5E_C17621.pdf	20-180:0.001656716	200-580:0.001285075	600-1980:0.001088060	2000-9980:0.000998507	10000-10020:0.000880597	10040-:0.000880597	106208						
C17629	Resistors	Chip Resistor - Surface Mount	0805W8F3303T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 330k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3303T5E_C17629.pdf	20-180:0.001476119	200-580:0.001110448	600-1980:0.000917910	2000-9980:0.000829851	10000-10020:0.000713433	10040-:0.000713433	144635						
C17630	Resistors	Chip Resistor - Surface Mount	0805W8F3300T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 330?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3300T5E_C17630.pdf	20-180:0.001597015	200-580:0.001235821	600-1980:0.001047761	2000-9980:0.000961194	10000-10020:0.000846269	10040-:0.000846269	792757						
C17633	Resistors	Chip Resistor - Surface Mount	0805W8F3302T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 33k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F3302T5E_C17633.pdf	20-180:0.001597015	200-580:0.001238806	600-1980:0.001049254	2000-9980:0.000962687	10000-10020:0.000847761	10040-:0.000847761	211064						
C17634	Resistors	Chip Resistor - Surface Mount	0805W8F330JT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??1% ??200ppm/?? -55??~+155?? 33?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F330JT5E_C17634.pdf	20-180:0.001597015	200-580:0.001234328	600-1980:0.001044776	2000-9980:0.000959701	10000-10020:0.000844776	10040-:0.000844776	173454						
C17655	Resistors	Chip Resistor - Surface Mount	0805W8F3900T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 390?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3900T5E_C17655.pdf	20-180:0.001597015	200-580:0.001231343	600-1980:0.001043284	2000-9980:0.000956716	10000-10020:0.000843284	10040-:0.000843284	219961						
C17656	Resistors	Chip Resistor - Surface Mount	0805W8F3903T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 390k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3903T5E_C17656.pdf	20-180:0.001626866	200-580:0.001271642	600-1980:0.001082090	2000-9980:0.000995522	10000-10020:0.000880597	10040-:0.000880597	38249						
C17661	Resistors	Chip Resistor - Surface Mount	0805W8F3001T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 3k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F3001T5E_C17661.pdf	20-180:0.001567164	200-580:0.001214925	600-1980:0.001028358	2000-9980:0.000943284	10000-10020:0.000831343	10040-:0.000831343	436145						
C17667	Resistors	Chip Resistor - Surface Mount	0805W8F4301T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 4.3k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4301T5E_C17667.pdf	20-180:0.001611940	200-580:0.001252239	600-1980:0.001059701	2000-9980:0.000973134	10000-10020:0.000856716	10040-:0.000856716	91437						
C17673	Resistors	Chip Resistor - Surface Mount	0805W8F4701T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 4.7k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4701T5E_C17673.pdf	20-180:0.001552239	200-580:0.001191045	600-1980:0.001001493	2000-9980:0.000914925	10000-10020:0.000801493	10040-:0.000801493	1839654						
C17675	Resistors	Chip Resistor - Surface Mount	0805W8F470KT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??1% ??200ppm/?? -55??~+155?? 4.7?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F470KT5E_C17675.pdf	20-180:0.002417910	200-580:0.001850746	600-1980:0.001552239	2000-9980:0.001413433	10000-10020:0.001232836	10040-:0.001232836	136164						
C17677	Resistors	Chip Resistor - Surface Mount	0805W8F4991T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 4.99k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4991T5E_C17677.pdf	20-180:0.001641791	200-580:0.001285075	600-1980:0.001092537	2000-9980:0.001005970	10000-10020:0.000889552	10040-:0.000889552	37499						
C17695	Resistors	Chip Resistor - Surface Mount	0805W8F4302T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 43k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4302T5E_C17695.pdf	20-180:0.001626866	200-580:0.001267164	600-1980:0.001077612	2000-9980:0.000992537	10000-10020:0.000877612	10040-:0.000877612	39550						
C17709	Resistors	Chip Resistor - Surface Mount	0805W8F4703T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 470k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4703T5E_C17709.pdf	20-180:0.001626866	200-580:0.001259701	600-1980:0.001067164	2000-9980:0.000979104	10000-10020:0.000862687	10040-:0.000862687	184881						
C17710	Resistors	Chip Resistor - Surface Mount	0805W8F4700T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 470?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4700T5E_C17710.pdf	20-180:0.001641791	200-580:0.001267164	600-1980:0.001073134	2000-9980:0.000985075	10000-10020:0.000867164	10040-:0.000867164	746402						
C17713	Resistors	Chip Resistor - Surface Mount	0805W8F4702T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 47k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4702T5E_C17713.pdf	20-180:0.001611940	200-580:0.001253731	600-1980:0.001064179	2000-9980:0.000977612	10000-10020:0.000862687	10040-:0.000862687	442488						
C17714	Resistors	Chip Resistor - Surface Mount	0805W8F470JT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??1% ??200ppm/?? -55??~+155?? 47?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F470JT5E_C17714.pdf	10040-:0.000855224	10000-10020:0.000855224	2000-9980:0.000968657	600-1980:0.001053731	200-580:0.001240299	20-180:0.001597015	136075						
C17719	Resistors	Chip Resistor - Surface Mount	0805W8F4992T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 49.9k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F4992T5E_C17719.pdf	20-180:0.001626866	200-580:0.001270149	600-1980:0.001080597	2000-9980:0.000994030	10000-10020:0.000880597	10040-:0.000880597	48939						
C17720	Resistors	Chip Resistor - Surface Mount	0805W8F499JT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 49.9?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F499JT5E_C17720.pdf	20-180:0.001895522	200-580:0.001537313	600-1980:0.001337313	2000-9980:0.001250746	10000-10020:0.001134328	10040-:0.001134328	121777						
C17724	Resistors	Chip Resistor - Surface Mount	0805W8F510KT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??1% ??400ppm/?? -55??~+155?? 5.1?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F510KT5E_C17724.pdf	20-180:0.002746269	200-580:0.002208955	600-1980:0.001910448	2000-9980:0.001791045	10000-10020:0.001611940	10040-:0.001611940	106194						
C17733	Resistors	Chip Resistor - Surface Mount	0805W8F5103T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 510k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5103T5E_C17733.pdf	20-180:0.001626866	200-580:0.001261194	600-1980:0.001067164	2000-9980:0.000979104	10000-10020:0.000862687	10040-:0.000862687	124814						
C17734	Resistors	Chip Resistor - Surface Mount	0805W8F5100T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 510?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5100T5E_C17734.pdf	20-180:0.001597015	200-580:0.001234328	600-1980:0.001044776	2000-9980:0.000958209	10000-10020:0.000843284	10040-:0.000843284	568749						
C17737	Resistors	Chip Resistor - Surface Mount	0805W8F5102T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 51k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5102T5E_C17737.pdf	20-180:0.001641791	200-580:0.001280597	600-1980:0.001089552	2000-9980:0.001002985	10000-10020:0.000888060	10040-:0.000888060	196053						
C17738	Resistors	Chip Resistor - Surface Mount	0805W8F510JT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 51?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F510JT5E_C17738.pdf	20-180:0.001641791	200-580:0.001282090	600-1980:0.001091045	2000-9980:0.001004478	10000-10020:0.000888060	10040-:0.000888060	234416						
C17756	Resistors	Chip Resistor - Surface Mount	0805W8F5602T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 56k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F5602T5E_C17756.pdf	20-180:0.001626866	200-580:0.001265672	600-1980:0.001071642	2000-9980:0.000983582	10000-10020:0.000865672	10040-:0.000865672	33152						
C17757	Resistors	Chip Resistor - Surface Mount	0805W8F560JT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 56?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F560JT5E_C17757.pdf	20-180:0.001656716	200-580:0.001292537	600-1980:0.001100000	2000-9980:0.001011940	10000-10020:0.000895522	10040-:0.000895522	49803						
C17767	Resistors	Chip Resistor - Surface Mount	0805W8F6201T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 6.2k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6201T5E_C17767.pdf	20-180:0.001641791	200-580:0.001276119	600-1980:0.001086567	2000-9980:0.001000000	10000-10020:0.000885075	10040-:0.000885075	83075						
C17772	Resistors	Chip Resistor - Surface Mount	0805W8F6801T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 6.8k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6801T5E_C17772.pdf	20-180:0.001611940	200-580:0.001244776	600-1980:0.001055224	2000-9980:0.000967164	10000-10020:0.000852239	10040-:0.000852239	188116						
C17783	Resistors	Chip Resistor - Surface Mount	0805W8F6202T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 62k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6202T5E_C17783.pdf	20-180:0.001626866	200-580:0.001262687	600-1980:0.001073134	2000-9980:0.000986567	10000-10020:0.000871642	10040-:0.000871642	29877						
C17797	Resistors	Chip Resistor - Surface Mount	0805W8F6803T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 680k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6803T5E_C17797.pdf	20-180:0.001507463	200-580:0.001143284	600-1980:0.000953731	2000-9980:0.000868657	10000-10020:0.000753731	10040-:0.000753731	103848						
C17798	Resistors	Chip Resistor - Surface Mount	0805W8F6800T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 680?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6800T5E_C17798.pdf	20-180:0.001626866	200-580:0.001262687	600-1980:0.001068657	2000-9980:0.000980597	10000-10020:0.000864179	10040-:0.000864179	198648						
C17801	Resistors	Chip Resistor - Surface Mount	0805W8F6802T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 68k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F6802T5E_C17801.pdf	20-180:0.001626866	200-580:0.001268657	600-1980:0.001079104	2000-9980:0.000994030	10000-10020:0.000879104	10040-:0.000879104	112191						
C17802	Resistors	Chip Resistor - Surface Mount	0805W8F680JT5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??1% ??200ppm/?? -55??~+155?? 68?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F680JT5E_C17802.pdf	20-180:0.001835821	200-580:0.001420896	600-1980:0.001205970	2000-9980:0.001107463	10000-10020:0.000979104	10040-:0.000979104	133748						
C17807	Resistors	Chip Resistor - Surface Mount	0805W8F7501T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 7.5k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F7501T5E_C17807.pdf	20-180:0.001641791	200-580:0.001271642	600-1980:0.001077612	2000-9980:0.000988060	10000-10020:0.000870149	10040-:0.000870149	126227						
C17818	Resistors	Chip Resistor - Surface Mount	0805W8F7500T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 750?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F7500T5E_C17818.pdf	20-180:0.001611940	200-580:0.001244776	600-1980:0.001055224	2000-9980:0.000967164	10000-10020:0.000852239	10040-:0.000852239	66867						
C17819	Resistors	Chip Resistor - Surface Mount	0805W8F7502T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 75k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F7502T5E_C17819.pdf	20-180:0.001611940	200-580:0.001259701	600-1980:0.001071642	2000-9980:0.000986567	10000-10020:0.000873134	10040-:0.000873134	53608						
C17828	Resistors	Chip Resistor - Surface Mount	0805W8F8201T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 8.2k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8201T5E_C17828.pdf	20-180:0.001656716	200-580:0.001291045	600-1980:0.001098507	2000-9980:0.001010448	10000-10020:0.000894030	10040-:0.000894030	116582						
C17837	Resistors	Chip Resistor - Surface Mount	0805W8F8200T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 820?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8200T5E_C17837.pdf	20-180:0.001626866	200-580:0.001267164	600-1980:0.001074627	2000-9980:0.000988060	10000-10020:0.000871642	10040-:0.000871642	90703						
C17840	Resistors	Chip Resistor - Surface Mount	0805W8F8202T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 82k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2205311830_UNI-ROYAL-Uniroyal-Elec-0805W8F8202T5E_C17840.pdf	20-180:0.001671642	200-580:0.001300000	600-1980:0.001105970	2000-9980:0.001017910	10000-10020:0.000900000	10040-:0.000900000	46066						
C17855	Resistors	Chip Resistor - Surface Mount	0805W8F9101T5E	805	2	UNI-ROYAL(Uniroyal Elec)	Basic	125mW Thick Film Resistors 150V ??100ppm/?? ??1% -55??~+155?? 9.1k?? 0805  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-0805W8F9101T5E_C17855.pdf	20-180:0.001465672	200-580:0.001104478	600-1980:0.000914925	2000-9980:0.000828358	10000-10020:0.000713433	10040-:0.000713433	201573						
C17887	Resistors	Chip Resistor - Surface Mount	1206W4F3000T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 300?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-1206W4F3000T5E_C17887.pdf	15-135:0.002820896	150-435:0.002164179	450-1485:0.001820896	1500-7485:0.001656716	7500-7515:0.001446269	7530-:0.001446269	167353						
C17888	Resistors	Chip Resistor - Surface Mount	1206W4F0000T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??800ppm/?? ??1% -55??~+155?? 0?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010200_UNI-ROYAL-Uniroyal-Elec-1206W4F0000T5E_C17888.pdf	15-135:0.002492537	150-435:0.001880597	450-1485:0.001552239	1500-7485:0.001408955	7500-7515:0.001213433	7530-:0.001213433	460184						
C17900	Resistors	Chip Resistor - Surface Mount	1206W4F1003T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 100k?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1003T5E_C17900.pdf	15-135:0.002477612	150-435:0.001865672	450-1485:0.001537313	1500-7485:0.001391045	7500-7515:0.001195522	7530-:0.001195522	310131						
C17901	Resistors	Chip Resistor - Surface Mount	1206W4F1000T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 100?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1000T5E_C17901.pdf	15-135:0.002880597	150-435:0.002223881	450-1485:0.001880597	1500-7485:0.001731343	7500-7515:0.001522388	7530-:0.001522388	569066						
C17902	Resistors	Chip Resistor - Surface Mount	1206W4F1002T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 10k?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1002T5E_C17902.pdf	15-135:0.002835821	150-435:0.002194030	450-1485:0.001850746	1500-7485:0.001701493	7500-7515:0.001507463	7530-:0.001507463	801679						
C17903	Resistors	Chip Resistor - Surface Mount	1206W4F100JT5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??1% ??400ppm/?? -55??~+155?? 10?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F100JT5E_C17903.pdf	15-135:0.002746269	150-435:0.002119403	450-1485:0.001805970	1500-7485:0.001656716	7500-7515:0.001455224	7530-:0.001455224	528634						
C17909	Resistors	Chip Resistor - Surface Mount	1206W4F1200T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 120?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1200T5E_C17909.pdf	15-135:0.002865672	150-435:0.002238806	450-1485:0.001910448	1500-7485:0.001746269	7500-7515:0.001552239	7530-:0.001552239	99094						
C17924	Resistors	Chip Resistor - Surface Mount	1206W4F1800T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 180?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1800T5E_C17924.pdf	15-135:0.002820896	150-435:0.002179104	450-1485:0.001850746	1500-7485:0.001701493	7500-7515:0.001492537	7530-:0.001492537	108687						
C17927	Resistors	Chip Resistor - Surface Mount	1206W4F1004T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 1M?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F1004T5E_C17927.pdf	15-135:0.002820896	150-435:0.002179104	450-1485:0.001850746	1500-7485:0.001701493	7500-7515:0.001492537	7530-:0.001492537	325861						
C17928	Resistors	Chip Resistor - Surface Mount	1206W4F100KT5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??800ppm/?? ??1% -55??~+155?? 1?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F100KT5E_C17928.pdf	15-135:0.003447761	150-435:0.002716418	450-1485:0.002298507	1500-7485:0.002059701	7500-14985:0.001835821	15000-:0.001731343	243724						
C17936	Resistors	Chip Resistor - Surface Mount	1206W4F4701T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 4.7k?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F4701T5E_C17936.pdf	15-135:0.002761194	150-435:0.002134328	450-1485:0.001791045	1500-7485:0.001641791	7500-7515:0.001446269	7530-:0.001446269	572404						
C17944	Resistors	Chip Resistor - Surface Mount	1206W4F2001T5E	1206	2	UNI-ROYAL(Uniroyal Elec)	Basic	250mW Thick Film Resistors 200V ??100ppm/?? ??1% -55??~+155?? 2k?? 1206  Chip Resistor - Surface Mount ROHS	https://datasheet.lcsc.com/lcsc/2206010145_UNI-ROYAL-Uniroyal-Elec-1206W4F2001T5E_C17944.pdf	15-135:0.002791045	150-435:0.002149254	450-1485:0.001820896	1500-7485:0.001656716	7500-7515:0.001461194	7530-:0.001461194	307433						
